Anunt,URL,Pret,Camere,metri utili
"2 CAMERE, DECOMANDAT , 55 MP UTILI , 1 MIN METROU",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/mihai-bravu/apartament-de-vanzare-2-camere-X89A10013?lista=2349706,79.800,2 camere,55 mp utili
"* BIROU VANZARI - DOAR 100 m de METROU, programeaza o vizionare, CHIAR MERITA !",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/mihai-bravu/apartament-de-vanzare-2-camere-X8BV000O8?lista=2349706,79.800,2 camere,55 mp utili
Apartament cu 2 camere mobilat cu boxa si Loc de Parcare,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/drumul-taberei/apartament-de-vanzare-2-camere-XAG00000J?lista=2349706,45.000,2 camere,46 mp utili
"Apartamente ecofriendly, eficiente energetic cu pompa de caldura",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/nord/apartament-de-vanzare-2-camere-XAJ20000T?lista=2349706,65.000,2 camere,52 mp utili
Militari- Iuliu Maniu- stradal,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X7SI00006?lista=2349706,73.000,2 camere,56 mp utili
"Apartament 2 camere Militari-Apeductului-Rezervelor,sc 53 mpc",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XA600000Q?lista=2349706,42.000,2 camere,46 mp utili
"Apt. 146 - 2 camere P+4, Asamblu, direct dezvoltator, Parc interior, piscina",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/nord-vest/apartament-de-vanzare-2-camere-XAFQ00001?lista=2349706,59.900,2 camere,50 mp utili
"Apartament 2 camere Militari-Apeductului-Rezervelor,sc 61 mpc",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XA600000R?lista=2349706,46.000,2 camere,53 mp utili
2 camere | bloc nou finalizat | zona Militari| vino la vizionare,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XA0500006?lista=2349706,51.000,2 camere,59.93 mp utili
2 camere | bloc nou finalizat | zona Militari | pretul contine 2 500€ reducere,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XA0500004?lista=2349706,40.500,2 camere,47.6 mp utili
"2 camere, Decomandat, Direct Dezvoltator, Lift, Parcare subterana inclusa",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/nord/apartament-de-vanzare-2-camere-XAOG00008?lista=2349706,67.200,2 camere,55.1 mp utili
"Apartament 2 camere , zona Nord, suprafete generoase",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/p-ta-presei-libere/apartament-de-vanzare-2-camere-XB0V00002?lista=2349706,71.100,2 camere,61.75 mp utili
Decebal - finalizare Februarie 2019 - acte Iunie 2019 - direct dezvoltator,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/decebal/apartament-de-vanzare-2-camere-X8C000012?lista=2349706,97.000,2 camere,56.75 mp utili
"Uverturii Lidl, Militari Apusului, Strada Ion Luca Caragiale",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XAFR0000C?lista=2349706,36.500,2 camere,45 mp utili
"Apt. 113 - 2 Camere, P+4, Lift, Parc interior, Piscina, 12 Minute Piata Presei",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/bucurestii-noi/apartament-de-vanzare-2-camere-XAFQ00003?lista=2349706,63.900,2 camere,50 mp utili
"2 Camere | DECOMANDATE | 63 MP UTILI | MILITARI | LACUL MORII Novum ",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X7IB0000E?lista=2349706,59.900,2 camere,63 mp utili
Apartament 2 Camere Lacul Morii,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X3F20000B?lista=2349706,53.900,2 camere,52 mp utili
"2 CAMERE,IULIU MANIU",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XAF500008?lista=2349706,51.000,2 camere,60 mp utili
Apartamente si Garsoniere Decomandate 44.000E/31.450 Euro,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XA2Q0000P?lista=2349706,42.500,2 camere,53 mp utili
"Apt. 009 2 camere DECOMANDAT, acces la PISCINA PRIVATA, COMISION 0%, P+4 cu lift",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/bucurestii-noi/apartament-de-vanzare-2-camere-XAFQ0000M?lista=2349706,69.900,2 camere,58.85 mp utili
Apartament 2 Camere - Theodor Pallady (direct dezvoltator),https://www.imobiliare.ro/vanzare-apartamente/bucuresti/titan/apartament-de-vanzare-2-camere-XAH300001?lista=2349706,66.800,2 camere,72 mp utili
Ap 2 camere - IULIU MANIU - Metrou Pacii 7 min,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XB2L10001?lista=2349706,53.000,2 camere,53 mp utili
"Apartament 2 camere etaj 2 , 48.900 Euro, Carrefour Grand Arena",https://www.imobiliare.ro/vanzare-apartamente/bucuresti/berceni/apartament-de-vanzare-2-camere-X53U0007H?lista=2349706,48.900,2 camere,54.7 mp utili
Vanzare Apartament 2 Camere Exclusivist 63MP Confort Lux Baneasa Sisesti,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/sisesti/apartament-de-vanzare-2-camere-XV0F0079N?lista=2349706,74.900,2 camere,55 mp utili
Apartament nou finisaje de lux,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/prelungirea-ghencea/apartament-de-vanzare-2-camere-XV0F00DMV?lista=2349706,46.500,2 camere,70 mp utili
